subject,condition,trial,start_time,rt,correct,fact_id,question,answer,alpha
2,1,124,997975.2866,2252.5566,FALSE,10,ghana,accra,0.49765625
2,1,125,1002641.929,1049.9719,TRUE,4,rwanda,kigali,0.759375
2,1,126,1005493.383,2746.4493,FALSE,5,eritrea,asmara,0.3890625
2,1,127,1010308.687,1307.081,TRUE,11,comoros,moroni,0.4078125
2,1,128,1013392.33,1711.4898,TRUE,8,mozambique,maputo,0.616015625
2,1,129,1017592.14,7659.7347,TRUE,4,rwanda,kigali,0.801953125
2,1,130,1027058.985,13304.8588,FALSE,10,ghana,accra,0.505078125
2,1,131,1042077.294,3726.4515,TRUE,4,rwanda,kigali,0.821875
2,1,132,1047692.96,1370.8188,TRUE,8,mozambique,maputo,0.56640625
2,1,133,1051292.804,7174.9353,FALSE,4,rwanda,kigali,0.822265625
2,1,134,1060209.395,6386.2688,FALSE,0,gabon,libreville,0.39296875
2,1,135,1068759.546,2044.1724,TRUE,4,rwanda,kigali,0.82109375
2,1,136,1072642.536,1781.1115,TRUE,1,central african republic,bangui,0.368359375
2,1,137,1076159.453,3340.2414,TRUE,4,rwanda,kigali,0.860546875
2,1,138,1081309.646,11098.0285,FALSE,10,ghana,accra,0.5265625
2,1,139,1094209.978,1481.6101,TRUE,4,rwanda,kigali,0.82109375
2,1,140,1098376.886,1894.7406,TRUE,7,swaziland,mbabane,0.49453125
2,1,141,1102676.23,899.3219,TRUE,4,rwanda,kigali,0.771484375
2,1,142,1105359.958,12739.7035,FALSE,10,ghana,accra,0.539453125
2,1,143,1119960.542,859.0184,TRUE,4,rwanda,kigali,0.721875
2,1,144,1122626.575,1904.9735,TRUE,8,mozambique,maputo,0.516796875
2,1,145,1128543.493,1400.2504,TRUE,11,comoros,moroni,0.358203125
2,1,146,1132160.328,8443.1741,FALSE,5,eritrea,asmara,0.426171875
2,1,147,1142327.128,2768.4595,FALSE,10,ghana,accra,0.58359375
2,1,148,1146893.999,4833.4846,TRUE,0,gabon,libreville,0.398828125
2,1,149,1154210.303,1929.1627,TRUE,10,ghana,accra,0.583203125
2,1,150,1157977.618,1381.9166,TRUE,4,rwanda,kigali,0.672265625
2,1,151,1161093.952,1637.5343,TRUE,7,swaziland,mbabane,0.494140625
2,1,152,1164864.134,10307.3396,FALSE,5,eritrea,asmara,0.43203125
2,1,153,1177560.925,6386.5716,FALSE,10,ghana,accra,0.6265625
2,1,154,1185761.236,3190.3581,FALSE,13,guinea,conakry,0.3
2,1,155,1190027.752,inf,TRUE,10,ghana,accra,0.633203125
2,1,156,1198727.801,1351.5959,FALSE,13,guinea,conakry,0.3
2,1,157,1202145.802,1105.661,FALSE,10,ghana,accra,0.6484375
2,1,158,1205377.846,4785.587,FALSE,14,ivory coast,yamoussoukro,0.3
2,1,159,1211244.414,1615.0567,TRUE,10,ghana,accra,0.648046875
2,1,160,1216777.878,2149.6142,FALSE,14,ivory coast,yamoussoukro,0.3
2,1,161,1228578.23,1317.1762,TRUE,10,ghana,accra,0.64765625
2,1,162,1232011.449,inf,FALSE,4,rwanda,kigali,0.67265625
2,1,163,1244461.864,10233.5207,TRUE,5,eritrea,asmara,0.450390625
2,1,164,1256361.896,1033.5063,TRUE,10,ghana,accra,0.598046875
2,1,165,1259411.791,2003.5264,FALSE,13,guinea,conakry,0.349609375
2,1,166,1262978.833,1192.5161,TRUE,7,swaziland,mbabane,0.44453125
2,1,167,1266595.062,2204.2437,TRUE,0,gabon,libreville,0.3984375
2,1,168,1271245.178,3014.1395,TRUE,4,rwanda,kigali,0.709765625
2,1,169,1276695.355,2307.9808,FALSE,14,ivory coast,yamoussoukro,0.349609375
2,1,170,1287845.739,3257.5702,FALSE,4,rwanda,kigali,0.71640625
2,1,171,1293912.082,2555.2351,TRUE,8,mozambique,maputo,0.5046875
2,1,172,1298780.162,1963.1358,FALSE,4,rwanda,kigali,0.753515625
2,1,173,1302762.39,1268.8416,TRUE,5,eritrea,asmara,0.45
2,1,174,1305812.58,3430.7121,TRUE,4,rwanda,kigali,0.76015625
2,1,175,1311079.584,11355.6695,FALSE,13,guinea,conakry,0.39921875
2,1,176,1325512.727,inf,TRUE,4,rwanda,kigali,0.801171875
2,1,177,1339513.473,1573.6405,TRUE,10,ghana,accra,0.5484375
2,1,178,1342946.446,1472.6777,TRUE,4,rwanda,kigali,0.80078125
2,1,179,1346596.716,1934.4805,FALSE,14,ivory coast,yamoussoukro,0.39921875
2,1,180,1356796.736,4714.5211,TRUE,4,rwanda,kigali,0.850390625
2,1,181,1363498.324,inf,FALSE,13,guinea,conakry,0.448828125
3,3,1,35740.44933,4509.208417,TRUE,0,djibouti,djibouti,0.3
3,3,2,53127.82883,1354.812792,TRUE,0,djibouti,djibouti,0.3
3,3,3,61630.24,1102.075791,TRUE,1,lesotho,maseru,0.3
3,3,4,75239.0235,930.632083,FALSE,1,lesotho,maseru,0.3
3,3,5,86164.16667,824.794459,TRUE,2,kenya,nairobi,0.3
3,3,6,94699.34046,2376.107,TRUE,3,uganda,kampala,0.3
3,3,7,100743.6871,1184.684416,TRUE,2,kenya,nairobi,0.3
3,3,8,107577.5456,2008.850125,FALSE,3,uganda,kampala,0.3
3,3,9,115208.8677,1043.948708,TRUE,0,djibouti,djibouti,0.250390625
3,3,10,119614.9453,1083.864667,TRUE,4,nigeria,abuja,0.3
3,3,11,125620.4021,1963.278708,FALSE,1,lesotho,maseru,0.349609375
3,3,12,130572.102,3987.336125,FALSE,4,nigeria,abuja,0.3
3,3,13,144983.3513,2315.145417,TRUE,5,south africa,cape town,0.3
3,3,14,149924.285,inf,TRUE,6,guinea,conakry,0.3
